ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
06db394e-d383-4bac-9e4f-93a6a0549322.webp,Trip.com,口コミ・レビュー,宿泊/旅行,リスト式,ブルー（#1A6FE8）、ホワイト、オレンジ（バナー）、グレー,ボタン、アバター、レーティング、タグ・ラベル、バッジ、リスト、カード、バナー・アラート、ツールバー,レビュー・評価,通常状態,高,ホテル側の返信セクション・認証済み会員バナー・ゲストレビュー（5段階評価・宿泊タイプ・旅行目的・複数添付写真）が縦に積層配置され、固定CTAボタン「客室タイプを選択」が画面下部に常時表示されている。,
08b283ff-a6e0-458a-bacb-712fc716719a.webp,Trip.com,検索結果,旅行,カード式,青（#3D4EF5）、白、赤（価格強調）,ボタン/ドロップダウン/タグ・ラベル/カード/レーティング/バッジ/ツールバー/シート/フロートボタン,検索/選択/購入・予約,パーシャルステート,高,検索条件編集用のモーダルシートが検索結果リストに重なって表示されており、日程・人数・検索ボタンを1画面で確認・変更できる二重レイヤー構造になっている。,
0c22acd9-6aac-4489-a8d9-67c761f3f244.webp,Trip.com,口コミ・レビュー,旅行,リスト式,ブルー（#0057FF系）、ホワイト、グレー,"レーティング, カード, ページコントロール, タグ・ラベル, ドロップダウン, アバター, ボタン, リスト, ツールバー, バッジ","レビュー・評価, フィルタ・並び替え",通常状態,高,総合評価スコアとカテゴリ別スコア（清潔度・サービス・設備・ロケーション）の数値表示に加え、AIによる口コミ要約カードをページ上部に配置し、フィルタ・並び替えUIとユーザー投稿レビューリストを組み合わせた構成になっている。,
0f52c8c6-1982-48b7-9506-3e91318e81b4.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,"ネイビーブルー (#1A3A6B), ロイヤルブルー (#4169E1), ホワイト (#FFFFFF), ライトグレー (#F5F5F5)","ボタン, タブ・セグメントコントロール, テーブル, リスト, タグ・ラベル, ツールバー",購入・予約,通常状態,中,ホテルの利用規約ページがタブ切替形式で構成され、チェックイン・チェックアウト時間・子供利用条件・ベビーベッド料金をテーブルとリストで整理し、固定フッターの「客室タイプを選択」CTAボタンへ誘導する設計になっている。,
20aa00e2-eedb-4993-98ce-2af6bed5b4e7.webp,Trip.com,タイムライン・履歴,旅行,リスト式,"ネイビー, ホワイト, ブルー","ボタン, タグ・ラベル, リスト, カード, ツールバー","キャンセル・返金, 購入・予約",通常状態,中,予約完了・キャンセル済みのステータスをタグで色分け区別し、ホテル・鉄道・航空券・パッケージの複数カテゴリの予約履歴を時系列で一覧表示している。,
25182b15-ff53-44ee-b11e-4acbe2675c99.webp,Trip.com,購入・予約,旅行,カード式,"ネイビーブルー (#1a2b6b), ホワイト (#ffffff), シアンブルー (#0d6efd), ティール (#00bcd4)","ボタン, タグ・ラベル, カード, シート, タブ・セグメントコントロール, ツールバー, バナー・アラート, リスト","購入・予約, キャンセル・返金",通常状態,中,予約完了画面上にボトムシートとしてキャンセル条件が重なって表示されており、「ホテルの現地時間」と「お客様の現地時間」のタブ切替でキャンセル無料期限（2024年10月7日18:00まで）と払い戻し不可条件をタイムライン形式で提示している。,
2e7f07d2-f0b0-417f-a120-7a0603747e88.webp,Trip.com,コンテンツ詳細,宿泊旅行,リスト式,"ネイビー, ホワイト, ブルー（アクセント）","タブ・セグメントコントロール, カルーセル, リスト, ボタン, タグ・ラベル, バッジ, ツールバー",選択,通常状態,高,ホテルの設備・アメニティをカルーセル形式の写真ギャラリーと2カラムのアイコン付きリストで構成し、有料・無料のタグラベルで費用情報を補足しながら「全て表示」ボタンで情報量を制御している,
341093a2-1352-4b98-97a8-6cfa20d42834.webp,Trip.com,購入・予約,旅行,シート,"ネイビー, ホワイト, オレンジ","ツールバー, バナー・アラート, リスト, シート","購入・予約, キャンセル・返金",通常状態,低,"ボトムシート形式でキャンセル・変更条件のみを表示し、無料キャンセル期限（ホテル現地時間2024年10月7日18:00）とペナルティ金額（63,428円）の2項目に情報を絞った構成になっている。",
3d9c7b45-c5b4-4656-afdd-e79f7a808389.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,"ネイビーブルー (#1A3A6B), ホワイト, グレー","タブ・セグメントコントロール, テーブル, リスト, タグ・ラベル, ボタン, ツールバー",購入・予約,通常状態,中,「ご利用条件」タブ内に年齢別追加料金テーブル・朝食・ペット・年齢要件・支払い方法（5ブランドロゴ）をセクション分割して縦積みで表示し、最下部に固定CTAボタンを配置している。,
4b4d2758-d37b-4dbd-90c0-1ade979a955c.webp,Trip.com,フィルタ・並び替え,宿泊旅行,リスト式,"ネイビー, ブルー, ホワイト, グレー","ボタン, ドロップダウン, リスト, シート, タグ・ラベル, ツールバー","フィルタ・並び替え, 選択",通常状態,中,価格表示単位の選択ドロップダウンが展開された状態で、「1泊1室あたり（税サ込）」と「全泊分の料金（税サ込）」の2択が表示され、現在選択中の項目にチェックマークが付いている。,
4cbe2500-53a7-4dbd-a367-0c988c50c910.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,"白, ネイビー, 青","ボタン, タブ・セグメントコントロール, ツールバー, カード, カルーセル, タグ・ラベル, レーティング, リスト, バッジ",購入・予約,通常状態,中,ホテル周辺の交通機関情報・衛生対策スコア・類似ホテルのカルーセルを縦スクロール形式で1画面にまとめ、画面下部に固定された割引価格と予約CTAボタンを常時表示している。,
4d50b32f-e8a7-47c7-bf52-8f92828ff1e3.webp,Trip.com,購入・予約,旅行,リスト式,"ダークネイビー(#1a237e), ホワイト(#ffffff), ブルー(#1565c0)","ボタン, シート, アクションシート, リスト, バッジ, ツールバー, タグ・ラベル","購入・予約, キャンセル・返金, 編集",通常状態,,予約完了画面上にボトムシート形式の「その他の手続き」メニューがオーバーレイ表示され、予約変更・電子領収書・確認メール再送・再度予約の4つのアクションボタンと、グレーアウトされた口コミ投稿ボタンが縦並びで配置されている,
57938bea-5864-4571-9de0-03cfa56d3e06.webp,Trip.com,フィルタ・並び替え,宿泊旅行,リスト式,"ネイビー, ホワイト, ブルー(#4C6EF5系), グレー","ボタン, タグ・ラベル, ドロップダウン, シート, ツールバー",フィルタ・並び替え,通常状態,低,ボトムシート形式で価格・食事・ベッドタイプ・予約条件・支払い方法の5カテゴリをタグ選択UIで構成し、最下部に固定の「結果を表示」CTAボタンを配置している。,
65143633-55ba-46f2-aa87-5adf1ccfe8a8.webp,Trip.com,購入・予約,旅行,リスト式,"ダークブルー(#1B3A7A), ホワイト, ゴールド/イエロー, レッド","ボタン, シート, アコーディオン, タグ・ラベル, バッジ, ツールバー, リスト, ドロップダウン",購入・予約,通常状態,中,"ボトムシート形式の料金明細モーダルが前面に重なり、室料・税金・早期割引・初回割引・クーポンの5項目を積み上げ表示し最終支払額63,428円を強調している",
6b9dea09-da81-42ab-acc4-a6ad7acc5b4d.webp,Trip.com,コンテンツ詳細,旅行,カード式,"ネイビーブルー, ホワイト, ゴールド, グリーン","ボタン, タブ・セグメントコントロール, レーティング, カード, マップ, タグ・ラベル, バッジ, ツールバー, リスト","購入・予約, 選択",通常状態,高,ホテル詳細画面にて、航空写真のヒーローイメージ上部にカテゴリタブを配置し、評価・住所・アクセス・設備・価格・チェックイン情報を縦スクロール型カードに集約した構成。,
71697785-073b-4490-9970-e3d371957155.webp,Trip.com,購入・予約,旅行,カード式,ブルー（#1A6FFF系）、ホワイト、オレンジ,ボタン、カード、リスト、アコーディオン、タグ・ラベル、バッジ、ツールバー、アバター,購入・予約、キャンセル・返金,通常状態,中,予約完了後の画面として、旅程進捗インジケーター（22%）・Trip Coinsリワード表示・FAQ形式カスタマーサポート・予約評価フィードバック・キャンセル／管理の二択CTAボタンが縦に並んで構成されている。,
71763934-50a4-43a0-8f01-4fe4d23e40eb.webp,Trip.com,コンテンツ詳細,旅行,タブ切替,ホワイト/#1E4D9B（ネイビーブルー）/#4A90D9（ライトブルー）/#F5F5F5（ライトグレー）,ボタン/タブ・セグメントコントロール/テーブル/リスト/タグ・ラベル/ツールバー,購入・予約,通常状態,高,チェックイン・チェックアウト時間、お子様条件、ベビーベッド・エキストラベッド料金をセクション分けして縦スクロール形式で表示し、画面下部に割引価格と予約CTAボタンを固定配置している。,
